epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,10481.5,0.71283,0.36125,0.95684,0.99217,0.98846,0.99118,0.8223,0.66348,0.28394,0.95153,0.001684,0.001684,0.001684
86,10599.2,0.71942,0.35872,0.95895,0.98892,0.9896,0.991,0.81687,0.66192,0.28863,0.95196,0.001585,0.001585,0.001585
87,10716.7,0.70944,0.35743,0.95395,0.99255,0.98953,0.99122,0.82825,0.65231,0.28348,0.95033,0.001486,0.001486,0.001486
88,10838.5,0.6972,0.35538,0.95408,0.99299,0.98923,0.99094,0.82346,0.64857,0.27968,0.95138,0.001387,0.001387,0.001387
89,10955.5,0.70187,0.34914,0.95445,0.99319,0.9896,0.99081,0.828,0.65869,0.28054,0.95352,0.001288,0.001288,0.001288
90,11073,0.69901,0.35329,0.95648,0.99286,0.99035,0.99173,0.82202,0.65841,0.28206,0.94609,0.001189,0.001189,0.001189
91,11192.8,0.66563,0.30735,0.96098,0.99329,0.98905,0.99123,0.83051,0.65359,0.27714,0.94705,0.00109,0.00109,0.00109
92,11312.9,0.65783,0.29904,0.95145,0.99144,0.98969,0.99123,0.8346,0.64423,0.27313,0.94593,0.000991,0.000991,0.000991
93,11433,0.65736,0.2976,0.95563,0.99292,0.98928,0.99131,0.82957,0.6504,0.27844,0.94482,0.000892,0.000892,0.000892
94,11550.1,0.64581,0.29393,0.95367,0.9935,0.98886,0.99149,0.84242,0.63905,0.27418,0.94601,0.000793,0.000793,0.000793
95,11670.2,0.64217,0.28826,0.95448,0.99393,0.9896,0.99174,0.84064,0.63924,0.27164,0.94295,0.000694,0.000694,0.000694
96,11786.7,0.6422,0.29001,0.95663,0.99218,0.98886,0.99164,0.83577,0.64357,0.27293,0.9451,0.000595,0.000595,0.000595
97,11903.8,0.63781,0.2853,0.94941,0.99219,0.99013,0.99173,0.84266,0.6336,0.26529,0.94158,0.000496,0.000496,0.000496
98,12023.4,0.62902,0.28198,0.9424,0.99195,0.99035,0.99157,0.84132,0.63333,0.2683,0.94031,0.000397,0.000397,0.000397
99,12140.2,0.63038,0.27813,0.94414,0.99404,0.99073,0.99194,0.84284,0.6304,0.26113,0.93938,0.000298,0.000298,0.000298
100,12261.2,0.6236,0.27663,0.94412,0.99256,0.99047,0.99176,0.84333,0.62768,0.26109,0.93979,0.000199,0.000199,0.000199
